Date,Commodity,Price
2021-01-01,Soybean,4200
2021-02-01,Soybean,4350
2021-03-01,Soybean,4500
2021-04-01,Soybean,4650
2021-05-01,Soybean,4800
2021-06-01,Soybean,4950
2021-07-01,Soybean,5100
2021-08-01,Soybean,5200
2021-09-01,Soybean,5350
2021-10-01,Soybean,5450
2021-11-01,Soybean,5550
2021-12-01,Soybean,5200
2022-01-01,Soybean,5100
2022-02-01,Soybean,5000
2022-03-01,Soybean,5150
2022-04-01,Soybean,5300
2022-05-01,Soybean,5450
2022-06-01,Soybean,5550
2022-07-01,Soybean,5700
2022-08-01,Soybean,5850
2022-09-01,Soybean,5950
2022-10-01,Soybean,6050
2022-11-01,Soybean,6100
2022-12-01,Soybean,5900
2023-01-01,Soybean,5750
2023-02-01,Soybean,5600
2023-03-01,Soybean,5750
2023-04-01,Soybean,5900
2023-05-01,Soybean,6050
2023-06-01,Soybean,6150
2023-07-01,Soybean,6300
2023-08-01,Soybean,6400
2023-09-01,Soybean,6500
2023-10-01,Soybean,6450
2023-11-01,Soybean,6300
2023-12-01,Soybean,6100
2024-01-01,Soybean,5950
2024-02-01,Soybean,5800
2024-03-01,Soybean,5700
2024-04-01,Soybean,5850
2021-01-01,Mustard,6000
2021-02-01,Mustard,6150
2021-03-01,Mustard,6300
2021-04-01,Mustard,6450
2021-05-01,Mustard,6600
2021-06-01,Mustard,6750
2021-07-01,Mustard,6850
2021-08-01,Mustard,6900
2021-09-01,Mustard,6800
2021-10-01,Mustard,6600
2021-11-01,Mustard,6400
2021-12-01,Mustard,6200
2022-01-01,Mustard,6300
2022-02-01,Mustard,6500
2022-03-01,Mustard,6700
2022-04-01,Mustard,6900
2022-05-01,Mustard,7100
2022-06-01,Mustard,7250
2022-07-01,Mustard,7350
2022-08-01,Mustard,7400
2022-09-01,Mustard,7300
2022-10-01,Mustard,7100
2022-11-01,Mustard,6900
2022-12-01,Mustard,6700
2023-01-01,Mustard,6850
2023-02-01,Mustard,7050
2023-03-01,Mustard,7250
2023-04-01,Mustard,7400
2023-05-01,Mustard,7550
2023-06-01,Mustard,7600
2023-07-01,Mustard,7650
2023-08-01,Mustard,7700
2023-09-01,Mustard,7650
2023-10-01,Mustard,7500
2023-11-01,Mustard,7300
2023-12-01,Mustard,7100
2024-01-01,Mustard,6950
2024-02-01,Mustard,6800
2024-03-01,Mustard,6700
2024-04-01,Mustard,6850
2021-01-01,Groundnut,5200
2021-02-01,Groundnut,5350
2021-03-01,Groundnut,5500
2021-04-01,Groundnut,5650
2021-05-01,Groundnut,5800
2021-06-01,Groundnut,5950
2021-07-01,Groundnut,6050
2021-08-01,Groundnut,6100
2021-09-01,Groundnut,6000
2021-10-01,Groundnut,5850
2021-11-01,Groundnut,5700
2021-12-01,Groundnut,5500
2022-01-01,Groundnut,5600
2022-02-01,Groundnut,5800
2022-03-01,Groundnut,6000
2022-04-01,Groundnut,6200
2022-05-01,Groundnut,6400
2022-06-01,Groundnut,6550
2022-07-01,Groundnut,6650
2022-08-01,Groundnut,6700
2022-09-01,Groundnut,6600
2022-10-01,Groundnut,6400
2022-11-01,Groundnut,6200
2022-12-01,Groundnut,6000
2023-01-01,Groundnut,6100
2023-02-01,Groundnut,6350
2023-03-01,Groundnut,6550
2023-04-01,Groundnut,6700
2023-05-01,Groundnut,6850
2023-06-01,Groundnut,6950
2023-07-01,Groundnut,7050
2023-08-01,Groundnut,7100
2023-09-01,Groundnut,7000
2023-10-01,Groundnut,6850
2023-11-01,Groundnut,6650
2023-12-01,Groundnut,6400
2024-01-01,Groundnut,6250
2024-02-01,Groundnut,6100
2024-03-01,Groundnut,6000
2024-04-01,Groundnut,6150
2021-01-01,Sunflower,6500
2021-02-01,Sunflower,6700
2021-03-01,Sunflower,6900
2021-04-01,Sunflower,7100
2021-05-01,Sunflower,7300
2021-06-01,Sunflower,7500
2021-07-01,Sunflower,7600
2021-08-01,Sunflower,7700
2021-09-01,Sunflower,7600
2021-10-01,Sunflower,7400
2021-11-01,Sunflower,7200
2021-12-01,Sunflower,7000
2022-01-01,Sunflower,7100
2022-02-01,Sunflower,7350
2022-03-01,Sunflower,7600
2022-04-01,Sunflower,7850
2022-05-01,Sunflower,8050
2022-06-01,Sunflower,8200
2022-07-01,Sunflower,8300
2022-08-01,Sunflower,8350
2022-09-01,Sunflower,8250
2022-10-01,Sunflower,8050
2022-11-01,Sunflower,7850
2022-12-01,Sunflower,7650
2023-01-01,Sunflower,7800
2023-02-01,Sunflower,8050
2023-03-01,Sunflower,8300
2023-04-01,Sunflower,8500
2023-05-01,Sunflower,8700
2023-06-01,Sunflower,8800
2023-07-01,Sunflower,8900
2023-08-01,Sunflower,8950
2023-09-01,Sunflower,8850
2023-10-01,Sunflower,8650
2023-11-01,Sunflower,8400
2023-12-01,Sunflower,8150
2024-01-01,Sunflower,7950
2024-02-01,Sunflower,7750
2024-03-01,Sunflower,7600
2024-04-01,Sunflower,7800
2021-01-01,Sesame,11000
2021-02-01,Sesame,11300
2021-03-01,Sesame,11600
2021-04-01,Sesame,11900
2021-05-01,Sesame,12200
2021-06-01,Sesame,12500
2021-07-01,Sesame,12700
2021-08-01,Sesame,12800
2021-09-01,Sesame,12600
2021-10-01,Sesame,12300
2021-11-01,Sesame,12000
2021-12-01,Sesame,11700
2022-01-01,Sesame,11900
2022-02-01,Sesame,12250
2022-03-01,Sesame,12600
2022-04-01,Sesame,12950
2022-05-01,Sesame,13250
2022-06-01,Sesame,13500
2022-07-01,Sesame,13650
2022-08-01,Sesame,13750
2022-09-01,Sesame,13600
2022-10-01,Sesame,13300
2022-11-01,Sesame,13000
2022-12-01,Sesame,12700
2023-01-01,Sesame,12950
2023-02-01,Sesame,13300
2023-03-01,Sesame,13650
2023-04-01,Sesame,13950
2023-05-01,Sesame,14250
2023-06-01,Sesame,14450
2023-07-01,Sesame,14600
2023-08-01,Sesame,14700
2023-09-01,Sesame,14550
2023-10-01,Sesame,14250
2023-11-01,Sesame,13900
2023-12-01,Sesame,13550
2024-01-01,Sesame,13200
2024-02-01,Sesame,12900
2024-03-01,Sesame,12600
2024-04-01,Sesame,12900
